,attention,shap_global,att_rank,shap_rank,rank_diff
NAME_CONTRACT_TYPE_Revolving loans,0.2909287399760266,0.0054424676519440295,1,7,6
EXT_SOURCE_2,0.1262531970472531,0.04199573202800186,2,2,0
YEARS_BUILD_MODE,0.1189669329156493,0.0002985507055589098,3,155,152
EXT_SOURCE_3,0.0931641466048148,0.07360776850747056,4,1,3
NAME_EDUCATION_TYPE_Higher education,0.0671488852847308,0.005885505641271718,5,5,0
CODE_GENDER_M,0.064652403931177,0.002983407624588704,6,11,5
FLAG_OWN_CAR_Y,0.0636730465836484,0.0024446373413414568,7,15,8
FLAG_DOCUMENT_20,0.0359013649105947,0.0,8,195,187
FONDKAPREMONT_MODE_org spec account,0.0346399783870299,0.00032900085521347824,9,150,141
FONDKAPREMONT_MODE_reg oper spec account,0.0201012110819655,0.0007159581150233026,10,72,62
DAYS_EMPLOYED,0.0185740605013426,0.00346694183272495,11,9,2
ORGANIZATION_TYPE_TE,0.0089203950825628,0.00304121822035726,12,10,2
DAYS_ID_PUBLISH,0.0069857757608492,0.002550443785864215,13,13,0
OCCUPATION_TYPE_TE,0.006856215653802,0.0012981637410307435,14,26,12
FLAG_DOCUMENT_17,0.006350482454093,0.0,15,195,180
CNT_CHILDREN,0.0046127756854834,0.0003403066464698658,16,143,127
NAME_EDUCATION_TYPE_Incomplete higher,0.0039895163882112,0.0006260573815227943,17,88,71
FLAG_DOCUMENT_11,0.0026242947802403,0.0,18,195,177
YEARS_BEGINEXPLUATATION_AVG,0.0023927104360113,0.00040727589223588746,19,130,111
WALLSMATERIAL_MODE_MISSING_FLAG,0.0023499099054009,0.0007783839477893367,20,62,42
HOUSETYPE_MODE_block of flats,0.0023359790866473,0.0,21,195,174
NAME_EDUCATION_TYPE_Lower secondary,0.0021559334128631,0.0,22,195,173
NAME_FAMILY_STATUS_Married,0.0020089094869195,0.000899978313025047,23,46,23
FONDKAPREMONT_MODE_not specified,0.001988285912883,0.0005068883027690781,24,109,85
NAME_INCOME_TYPE_Working,0.0013594121829873,0.00036982936031152276,25,135,110
AMT_REQ_CREDIT_BUREAU_WEEK,0.0013327212775548,0.00117930596866041,26,27,1
NAME_TYPE_SUITE_Unaccompanied,0.0010367715920975,0.0006434724713477567,27,85,58
DAYS_BIRTH,0.0009784103885855,0.0017346091765730823,28,18,10
YEARS_BEGINEXPLUATATION_MEDI,0.0008987066360113,0.0009725342419822651,29,38,9
APARTMENTS_AVG,0.0007615465705172,0.0007653364909283971,30,63,33
AMT_CREDIT,0.0007514058624908,0.0019021466385447808,31,17,14
LIVINGAPARTMENTS_AVG,0.0006050614337234,0.0007627998033016792,32,64,32
FLOORSMAX_MEDI,0.0006011011346273,0.0011298927370539105,33,32,1
NAME_INCOME_TYPE_Businessman,0.0005466457030608,0.0,34,195,161
LIVE_CITY_NOT_WORK_CITY,0.0003511868485993,0.0003339157522229722,35,146,111
TOTALAREA_MODE,0.0003473546199817,0.00045130255936878734,36,121,85
NAME_INCOME_TYPE_Commercial associate,0.0003163574892402,0.000688118693371517,37,76,39
LANDAREA_MODE,0.0002408848742584,0.0005610280461781534,38,101,63
WEEKDAY_APPR_PROCESS_START_SUNDAY,0.0002337545098974,0.0010031705903922603,39,35,4
FONDKAPREMONT_MODE_MISSING_FLAG,0.000224790280866,0.000754523577488884,40,65,25
WALLSMATERIAL_MODE_Panel,0.0002109738635535,0.0008904557631731673,41,47,6
APARTMENTS_MEDI,0.0001973639563223,0.00036410872671298284,42,137,95
AMT_REQ_CREDIT_BUREAU_MON,0.0001655766659671,0.00045664870122197093,43,120,77
FLAG_DOCUMENT_7,0.0001569278520082,0.0,44,195,151
LIVINGAPARTMENTS_MODE,0.0001513016277747,0.0007827579675148033,45,60,15
FLAG_DOCUMENT_4,0.0001056029599101,0.0,46,195,149
NAME_FAMILY_STATUS_Unknown,8.803994586353852e-05,0.0,47,195,148
LIVINGAPARTMENTS_AVG_MISSING_FLAG,7.670459092168804e-05,0.0006899290161950585,48,75,27
FLAG_DOCUMENT_15,6.906225045509297e-05,0.0,49,195,146
WEEKDAY_APPR_PROCESS_START_THURSDAY,6.787999629878092e-05,0.0005572326506574056,50,102,52
FLAG_OWN_CAR_N,6.465903414832842e-05,0.001158120839835512,51,30,21
WEEKDAY_APPR_PROCESS_START_TUESDAY,5.650081225557876e-05,0.0004848346714605194,52,114,62
COMMONAREA_MODE_MISSING_FLAG,4.4776852746875554e-05,0.000851007681542725,53,50,3
EMERGENCYSTATE_MODE_No,3.298015760859133e-05,0.0,54,195,141
WEEKDAY_APPR_PROCESS_START_FRIDAY,3.056354767868366e-05,0.0005932134427555808,55,95,40
OBS_60_CNT_SOCIAL_CIRCLE,2.941173073330546e-05,0.0002050381964120166,56,170,114
FLOORSMIN_MODE,2.9150484556694232e-05,0.00033281394348765286,57,147,90
COMMONAREA_AVG_MISSING_FLAG,2.631482082528312e-05,0.0003985432045249175,58,132,74
"WALLSMATERIAL_MODE_Stone, brick",2.0117562988252948e-05,0.00047369841623566317,59,117,58
APARTMENTS_MODE,1.972046491449774e-05,0.0005681059280245817,60,97,37
NAME_TYPE_SUITE_Other_B,1.9076040330566294e-05,0.0,61,195,134
REGION_RATING_CLIENT,1.4969107135585028e-05,0.0004982905019634029,62,110,48
NAME_FAMILY_STATUS_Civil marriage,1.4597243873917852e-05,0.00035928679440589193,63,139,76
ENTRANCES_MEDI,1.2395842061276377e-05,0.0004694554206915144,64,118,54
NONLIVINGAREA_AVG,9.900556267001305e-06,0.0001217608750002491,65,174,109
NAME_HOUSING_TYPE_Co-op apartment,9.71461178315868e-06,0.00011253310769378965,66,175,109
NONLIVINGAPARTMENTS_AVG_MISSING_FLAG,8.858092807460946e-06,0.0010091217580299196,67,34,33
FLAG_DOCUMENT_13,7.906081652456086e-06,0.0,68,195,127
FLAG_DOCUMENT_2,7.561599174271514e-06,0.0,69,195,126
LIVINGAPARTMENTS_MEDI_MISSING_FLAG,7.445790761703656e-06,0.0007511935473849603,70,66,4
NONLIVINGAREA_MODE_MISSING_FLAG,6.661581542193862e-06,0.0003856751654784866,71,134,63
NAME_FAMILY_STATUS_Widow,5.3017638628808586e-06,0.0009481977746422534,72,40,32
NAME_INCOME_TYPE_Pensioner,4.849440147351072e-06,0.0004877584442795074,73,112,39
NONLIVINGAREA_AVG_MISSING_FLAG,4.774534396919156e-06,0.0005568755405379601,74,103,29
