model,split,metric,mean,std,n
LightGBM,test,auroc,0.7543648555203557,0.0008551206648502853,5
LightGBM,test,auprc,0.24015871530320587,0.0017605898366316176,5
LightGBM,test,ks,0.3787506325451887,0.002795129333661508,5
LightGBM,test,f1,0.25840071419140476,0.0052217049304444435,5
LightGBM,test,precision,0.15813819549964092,0.004845148927208762,5
LightGBM,test,recall,0.7075931520644512,0.019849553153975925,5
LightGBM,test,accuracy,0.6717948717948719,0.017719526186993458,5
LightGBM,test,time_sec,12.521999999999998,0.3568893385911102,5
LightGBM,val,auroc,0.751109815408993,0.0021883480812785907,5
LightGBM,val,auprc,0.2334461911785374,0.005828464271587211,5
LightGBM,val,ks,0.3753232316020118,0.004740566540017384,5
LightGBM,val,f1,0.2578335127094651,0.004748406329568915,5
LightGBM,val,precision,0.15769498126196332,0.004416125143647312,5
LightGBM,val,recall,0.7078046324269889,0.01987934283563638,5
LightGBM,val,accuracy,0.6707708530308311,0.016724155748191718,5
LightGBM,val,time_sec,12.521999999999998,0.3568893385911102,5
Logistic,test,auroc,0.7544310174760769,0.0001232311325645073,5
Logistic,test,auprc,0.2343106287159027,0.0005717709574273334,5
Logistic,test,ks,0.38041791853170637,0.001034554546603082,5
Logistic,test,f1,0.2631166857973664,0.008742088665737469,5
Logistic,test,precision,0.16281079490668743,0.00876970954686406,5
Logistic,test,recall,0.6903121852970796,0.03532277797370084,5
Logistic,test,accuracy,0.6869193372681007,0.029742748185857544,5
Logistic,test,time_sec,134.592,21.305082022841404,5
Logistic,val,auroc,0.7465953903614899,0.0017598482852857747,5
Logistic,val,auprc,0.2240598545967501,0.0016416155824494566,5
Logistic,val,ks,0.36998632892481476,0.0034196684709264374,5
Logistic,val,f1,0.2601393195295688,0.008734267658540063,5
Logistic,val,precision,0.1607678821492024,0.008768471059582623,5
Logistic,val,recall,0.6863544813695872,0.036569898470210006,5
Logistic,val,accuracy,0.683851659861566,0.030627024707303156,5
Logistic,val,time_sec,134.592,21.305082022841404,5
TabNet,test,auroc,0.7517696036107149,0.0016613212189389719,5
TabNet,test,auprc,0.2331404193806696,0.0023437626259767393,5
TabNet,test,ks,0.37486663035175977,0.005623724232831513,5
TabNet,test,f1,0.2657004082561605,0.007935240569774748,5
TabNet,test,precision,0.16618909915640598,0.008109480944171462,5
TabNet,test,recall,0.6659818731117826,0.030335629439967187,5
TabNet,test,accuracy,0.7021381070842072,0.02497697846190963,5
TabNet,test,time_sec,379.708,110.4062546688366,5
TabNet,val,auroc,0.7440912950087253,0.0015986636313137972,5
TabNet,val,auprc,0.22441498112055788,0.0016747465521068617,5
TabNet,val,ks,0.3648232833769902,0.003212386725583036,5
TabNet,val,f1,0.2631699489758035,0.008035512239239045,5
TabNet,val,precision,0.16454811800201657,0.008239908778524627,5
TabNet,val,recall,0.6607754279959719,0.030665231326505758,5
TabNet,val,accuracy,0.7005545032529458,0.025705237722400343,5
TabNet,val,time_sec,379.708,110.4062546688366,5
XGBoost,test,auroc,0.7586846686578237,0.0008134411030032367,5
XGBoost,test,auprc,0.24453187977700477,0.0010774048862636776,5
XGBoost,test,ks,0.3845756077323178,0.0015223819232270345,5
XGBoost,test,f1,0.2698058838184466,0.004698754405730532,5
XGBoost,test,precision,0.16885765005585143,0.004976636333175991,5
XGBoost,test,recall,0.6724269889224572,0.020730349877943942,5
XGBoost,test,accuracy,0.7059102807993106,0.015992065645913767,5
XGBoost,test,time_sec,19.112000000000002,1.5175374789440952,5
XGBoost,val,auroc,0.755445461179104,0.0026124050981281865,5
XGBoost,val,auprc,0.2385756329314399,0.005449858455585658,5
XGBoost,val,ks,0.38450671280208865,0.003549595231146971,5
XGBoost,val,f1,0.27027584992921894,0.0045551369878795945,5
XGBoost,val,precision,0.16886334986121804,0.004697491750342242,5
XGBoost,val,recall,0.6779959718026183,0.019610007404344557,5
XGBoost,val,accuracy,0.7042087750249475,0.015028688113250538,5
XGBoost,val,time_sec,19.112000000000002,1.5175374789440952,5
