model,split,metric,mean,std,n
XGBoost,test,auroc,0.7755060088987552,0.001140387962444874,5
XGBoost,test,auprc,0.26461353566326096,0.0014561228317285717,5
XGBoost,test,ks,0.4146285614498348,0.0040224601280522835,5
XGBoost,test,f1,0.28132692500836637,0.009619036991935281,5
XGBoost,test,precision,0.17637339145987693,0.0091997070353913,5
XGBoost,test,recall,0.6985297079556899,0.028544617845507332,5
XGBoost,test,accuracy,0.711071004666439,0.02571532497157307,5
XGBoost,test,time_sec,138.12,11.53690166379171,5
XGBoost,val,auroc,0.7725170134777681,0.004443786674231981,5
XGBoost,val,auprc,0.2606536139804362,0.006059816775291084,5
XGBoost,val,ks,0.40927618050262166,0.008926180707442664,5
XGBoost,val,f1,0.28058642394177563,0.01127864313137787,5
XGBoost,val,precision,0.17581229708331483,0.010251453498205505,5
XGBoost,val,recall,0.6982376636455185,0.025505525272235135,5
XGBoost,val,accuracy,0.7100051529427818,0.02624871351564983,5
XGBoost,val,time_sec,138.12,11.53690166379171,5
