,pearson
EXT_SOURCE_3,-0.17891869762837048
EXT_SOURCE_2,-0.16047167160520875
DAYS_EMPLOYED,-0.04493166265773831
FLOORSMAX_AVG,-0.044003370532402865
FLOORSMAX_MEDI,-0.04376792104770143
FLOORSMAX_MODE,-0.04322626321381947
AMT_GOODS_PRICE,-0.039645281169544896
REGION_POPULATION_RELATIVE,-0.037227148542444743
TOTALAREA_MODE,-0.032595546758941996
AMT_CREDIT,-0.03036928646142988
FLAG_DOCUMENT_6,-0.02860189397306156
HOUR_APPR_PROCESS_START,-0.02416583143009371
FLAG_PHONE,-0.023806272330357217
AMT_ANNUITY,-0.012816561515413605
AMT_REQ_CREDIT_BUREAU_MON,-0.012462419228138606
FLAG_DOCUMENT_16,-0.011614671588293178
FLAG_DOCUMENT_13,-0.01158322234141947
YEARS_BEGINEXPLUATATION_MEDI,-0.009993096559696444
YEARS_BEGINEXPLUATATION_AVG,-0.009727673268680202
FLAG_DOCUMENT_14,-0.009463821935576941
YEARS_BEGINEXPLUATATION_MODE,-0.009036447354301175
FLAG_DOCUMENT_8,-0.00804038446605664
FLAG_DOCUMENT_18,-0.007952385099462259
FLAG_DOCUMENT_15,-0.006535657584094894
FLAG_DOCUMENT_9,-0.004352408580842042
FLAG_DOCUMENT_11,-0.004229349652160023
AMT_INCOME_TOTAL,-0.003981865601205793
FLAG_DOCUMENT_17,-0.0033775691474138337
FLAG_DOCUMENT_4,-0.0026720821701620937
SK_ID_CURR,-0.0021084690181960766
AMT_REQ_CREDIT_BUREAU_QRT,-0.0020219274353457245
FLAG_EMAIL,-0.0017583834312544816
FLAG_DOCUMENT_7,-0.0015195031600879073
FLAG_DOCUMENT_10,-0.0014138915975241474
FLAG_DOCUMENT_19,-0.001357518324300817
FLAG_DOCUMENT_12,-0.0007557507043578883
FLAG_DOCUMENT_5,-0.00031577741664638075
FLAG_DOCUMENT_20,0.00021539355797734155
FLAG_CONT_MOBILE,0.00037012680234920295
FLAG_MOBIL,0.0005343955790422479
AMT_REQ_CREDIT_BUREAU_WEEK,0.000787711748903683
AMT_REQ_CREDIT_BUREAU_HOUR,0.0009304246096946755
AMT_REQ_CREDIT_BUREAU_DAY,0.0027044013780418243
LIVE_REGION_NOT_WORK_REGION,0.002819479184159081
FLAG_DOCUMENT_21,0.003708625029306583
FLAG_DOCUMENT_2,0.005417144279619328
REG_REGION_NOT_LIVE_REGION,0.005575944520908343
REG_REGION_NOT_WORK_REGION,0.006941907545371869
OBS_60_CNT_SOCIAL_CIRCLE,0.009022143630215059
OBS_30_CNT_SOCIAL_CIRCLE,0.0091306657027761
CNT_FAM_MEMBERS,0.009307784396531512
CNT_CHILDREN,0.01918713359627062
AMT_REQ_CREDIT_BUREAU_YEAR,0.019929858569467208
FLAG_WORK_PHONE,0.028524322363216906
DEF_60_CNT_SOCIAL_CIRCLE,0.031276472126435764
DEF_30_CNT_SOCIAL_CIRCLE,0.03224757925304534
LIVE_CITY_NOT_WORK_CITY,0.03251834110149831
DAYS_REGISTRATION,0.04197486283141728
FLAG_DOCUMENT_3,0.044346346851144976
REG_CITY_NOT_LIVE_CITY,0.044395374805700945
FLAG_EMP_PHONE,0.04598221971659226
REG_CITY_NOT_WORK_CITY,0.05099446436812648
DAYS_ID_PUBLISH,0.05145717260705659
DAYS_LAST_PHONE_CHANGE,0.055218483513459246
REGION_RATING_CLIENT,0.058899014945713445
REGION_RATING_CLIENT_W_CITY,0.06089266756482329
DAYS_BIRTH,0.07823930830982459
