model,split,time_sec,auroc,auprc,ks,threshold,f1,precision,recall,accuracy
Logistic,fold0_val,5.7,0.7373511904761905,0.5011976808718277,0.4017857142857143,0.34246506486222006,0.5882352941176471,0.42857142857142855,0.9375,0.60625
Logistic,fold0_test,5.7,0.7966666666666667,0.6431111214569125,0.47619047619047616,0.34246506486222006,0.6049382716049383,0.4803921568627451,0.8166666666666667,0.68
Logistic,fold1_val,4.51,0.7386532738095238,0.551829918775278,0.45238095238095233,0.49943683905234987,0.6140350877192983,0.5303030303030303,0.7291666666666666,0.725
Logistic,fold1_test,4.51,0.7819047619047619,0.6535733865468003,0.44047619047619047,0.49943683905234987,0.5942028985507246,0.5256410256410257,0.6833333333333333,0.72
Logistic,fold2_val,4.48,0.7842261904761906,0.630942319578502,0.45238095238095233,0.35472350644708894,0.6129032258064516,0.5,0.7916666666666666,0.7
Logistic,fold2_test,4.48,0.8164285714285715,0.6756635298535736,0.5380952380952381,0.35472350644708894,0.632258064516129,0.5157894736842106,0.8166666666666667,0.715
Logistic,fold3_val,4.52,0.746279761904762,0.5738288604943462,0.41666666666666663,0.4298486192550054,0.59375,0.475,0.7916666666666666,0.675
Logistic,fold3_test,4.52,0.7986904761904763,0.614210062165595,0.49761904761904757,0.4298486192550054,0.6040268456375839,0.5056179775280899,0.75,0.705
Logistic,fold4_val,4.52,0.8097098214285715,0.6068274306222362,0.5386904761904763,0.4422194642801532,0.6611570247933884,0.547945205479452,0.8333333333333334,0.74375
Logistic,fold4_test,4.52,0.7922619047619048,0.6465012833571959,0.4785714285714286,0.4422194642801532,0.6081081081081081,0.5113636363636364,0.75,0.71
XGBoost,fold0_val,0.4,0.7607886904761905,0.5769813284461661,0.4107142857142857,0.6104472279548645,0.5869565217391305,0.6136363636363636,0.5625,0.7625
XGBoost,fold0_test,0.4,0.7888095238095238,0.5986230170667759,0.43333333333333335,0.6104472279548645,0.5585585585585585,0.6078431372549019,0.5166666666666667,0.755
XGBoost,fold1_val,0.23,0.7821800595238095,0.5913338682360961,0.4642857142857143,0.5438017249107361,0.6226415094339622,0.5689655172413793,0.6875,0.75
XGBoost,fold1_test,0.23,0.7988095238095239,0.6436875374514672,0.4452380952380952,0.5438017249107361,0.5891472868217055,0.5507246376811594,0.6333333333333333,0.735
XGBoost,fold2_val,0.13,0.8434709821428571,0.7110485741585225,0.5625,0.4784644842147827,0.672,0.5454545454545454,0.875,0.74375
XGBoost,fold2_test,0.13,0.7768452380952381,0.603335291593995,0.45000000000000007,0.4784644842147827,0.5882352941176471,0.4838709677419355,0.75,0.685
XGBoost,fold3_val,0.11,0.7568824404761905,0.5405435794447271,0.41666666666666663,0.45505720376968384,0.5945945945945946,0.44,0.9166666666666666,0.625
XGBoost,fold3_test,0.11,0.7232142857142858,0.49254623287244187,0.38809523809523816,0.45505720376968384,0.5340909090909091,0.4051724137931034,0.7833333333333333,0.59
XGBoost,fold4_val,0.36,0.8115699404761904,0.6601798270686556,0.5267857142857143,0.5554556846618652,0.6666666666666666,0.6470588235294118,0.6875,0.79375
XGBoost,fold4_test,0.36,0.7694047619047618,0.6209299375558057,0.4071428571428572,0.5554556846618652,0.5423728813559322,0.5517241379310345,0.5333333333333333,0.73
LightGBM,fold0_val,0.15,0.7565104166666666,0.553538345798846,0.4196428571428571,0.23337486845044328,0.5960264900662252,0.4368932038834951,0.9375,0.61875
LightGBM,fold0_test,0.15,0.7990476190476191,0.6530490269367911,0.4547619047619047,0.23337486845044328,0.5777777777777777,0.43333333333333335,0.8666666666666667,0.62
LightGBM,fold1_val,0.1,0.7604166666666667,0.6081935523281168,0.386904761904762,0.5402319836092129,0.5714285714285714,0.56,0.5833333333333334,0.7375
LightGBM,fold1_test,0.1,0.7867857142857142,0.6378913708651676,0.46190476190476193,0.5402319836092129,0.5391304347826087,0.5636363636363636,0.5166666666666667,0.735
LightGBM,fold2_val,0.1,0.8082217261904763,0.6763686229263228,0.4970238095238095,0.4191711220945644,0.6386554621848739,0.5352112676056338,0.7916666666666666,0.73125
LightGBM,fold2_test,0.1,0.7825000000000001,0.6538002819810329,0.4261904761904761,0.4191711220945644,0.5915492957746479,0.5121951219512195,0.7,0.71
LightGBM,fold3_val,0.09,0.7570684523809524,0.528964444334932,0.45238095238095233,0.47958144872618025,0.6140350877192983,0.5303030303030303,0.7291666666666666,0.725
LightGBM,fold3_test,0.09,0.7521428571428572,0.6074489271539515,0.40476190476190477,0.47958144872618025,0.5481481481481482,0.49333333333333335,0.6166666666666667,0.695
LightGBM,fold4_val,0.14,0.8165922619047619,0.6621258127448891,0.5327380952380952,0.41757096202223903,0.6666666666666666,0.6140350877192983,0.7291666666666666,0.78125
LightGBM,fold4_test,0.14,0.7529761904761904,0.5848228548040809,0.3928571428571429,0.41757096202223903,0.5230769230769231,0.4857142857142857,0.5666666666666667,0.69
TabNet,fold0_val,15.01,0.7429315476190476,0.525983225525741,0.38392857142857145,0.5430314540863037,0.5739130434782609,0.4925373134328358,0.6875,0.69375
TabNet,fold0_test,15.01,0.7347619047619047,0.4792925291225956,0.4119047619047619,0.5430314540863037,0.5507246376811594,0.48717948717948717,0.6333333333333333,0.69
