model,split,metric,mean,std,n
LightGBM,test,auroc,0.7746904761904763,0.021097743858488005,5
LightGBM,test,auprc,0.6274024923482048,0.03031408461341232,5
LightGBM,test,ks,0.4280952380952381,0.03018273898151562,5
LightGBM,test,f1,0.5559365159120211,0.02814323491567121,5
LightGBM,test,precision,0.4976424875937071,0.047073052201013696,5
LightGBM,test,recall,0.6533333333333333,0.13713334953816142,5
LightGBM,test,accuracy,0.69,0.04286607049870561,5
LightGBM,test,time_sec,0.11599999999999999,0.027018512172212593,5
LightGBM,val,auroc,0.7797619047619049,0.02998457670031204,5
LightGBM,val,auprc,0.6058381556266214,0.06479435286114608,5
LightGBM,val,ks,0.4577380952380953,0.05845013815889273,5
LightGBM,val,f1,0.6173624556131271,0.036947644971215915,5
LightGBM,val,precision,0.5352885179022915,0.06426153297361954,5
LightGBM,val,recall,0.7541666666666667,0.12791734527507292,5
LightGBM,val,accuracy,0.7187500000000001,0.06011057519272295,5
LightGBM,val,time_sec,0.11599999999999999,0.027018512172212593,5
Logistic,test,auroc,0.7971904761904762,0.012555601960462506,5
Logistic,test,auprc,0.6466118766760156,0.022105464672700807,5
Logistic,test,ks,0.4861904761904762,0.03561096164903667,5
Logistic,test,f1,0.6087068376834968,0.014155276654237187,5
Logistic,test,precision,0.5077608540159415,0.016961550749198986,5
Logistic,test,recall,0.7633333333333333,0.05577733510227169,5
Logistic,test,accuracy,0.706,0.015572411502397404,5
Logistic,test,time_sec,4.746,0.5335541209661866,5
Logistic,val,auroc,0.7632440476190477,0.032257757407958776,5
Logistic,val,auprc,0.572925242068438,0.050264331035690994,5
Logistic,val,ks,0.4523809523809524,0.05311478659992488,5
Logistic,val,f1,0.6140161264873572,0.028717896863411283,5
Logistic,val,precision,0.4963639328707822,0.047111443061900814,5
Logistic,val,recall,0.8166666666666667,0.07711148134717397,5
Logistic,val,accuracy,0.69,0.053509636982509996,5
Logistic,val,time_sec,4.746,0.5335541209661866,5
TabNet,test,auroc,0.7499285714285714,0.013115676690765524,5
TabNet,test,auprc,0.53888538377077,0.03696497436280074,5
TabNet,test,ks,0.43380952380952376,0.024594212397365187,5
TabNet,test,f1,0.5606244034976239,0.01391852301519319,5
TabNet,test,precision,0.47043681977279556,0.029215127048368133,5
TabNet,test,recall,0.7066666666666668,0.09545214042184234,5
TabNet,test,accuracy,0.669,0.03248076353782341,5
TabNet,test,time_sec,7.686,4.1448618794840435,5
TabNet,val,auroc,0.7565104166666666,0.017794544764292503,5
TabNet,val,auprc,0.5684004368547825,0.03943163198850388,5
TabNet,val,ks,0.4166666666666667,0.0295378470852369,5
TabNet,val,f1,0.5937934042490683,0.01618416622538103,5
TabNet,val,precision,0.4942329933948738,0.039664225623365384,5
TabNet,val,recall,0.7541666666666667,0.07424387367168944,5
TabNet,val,accuracy,0.6899999999999998,0.0371336269437824,5
TabNet,val,time_sec,7.686,4.1448618794840435,5
XGBoost,test,auroc,0.7714166666666666,0.029197032298015096,5
XGBoost,test,auprc,0.5918244033080972,0.05824902065751593,5
XGBoost,test,ks,0.4247619047619048,0.0263845622422763,5
XGBoost,test,f1,0.5624809859889505,0.025495557272035868,5
XGBoost,test,precision,0.519867058880427,0.07771331000895136,5
XGBoost,test,recall,0.6433333333333333,0.1216780816562932,5
XGBoost,test,accuracy,0.699,0.0660870637870983,5
XGBoost,test,time_sec,0.246,0.13126309458488322,5
XGBoost,val,auroc,0.7909784226190475,0.03650632318969158,5
XGBoost,val,auprc,0.6160174354708335,0.06857593097880754,5
XGBoost,val,ks,0.47619047619047616,0.06704690670279055,5
XGBoost,val,f1,0.6285718584868708,0.03955590233979738,5
XGBoost,val,precision,0.5630230499723401,0.07921861342216319,5
XGBoost,val,recall,0.7458333333333333,0.1468713061001214,5
XGBoost,val,accuracy,0.735,0.06443868209391002,5
XGBoost,val,time_sec,0.246,0.13126309458488322,5
