feature,mean_abs_shap
checking_status_no_checking,0.5633336
duration,0.35257515
credit_history_critical/other_existing_credit,0.28242072
credit_amount,0.2565323
savings_status__100,0.22249727
employment_4_=X_7,0.20632105
other_payment_plans_none,0.18230624
installment_commitment,0.17296469
checking_status__0,0.15208726
age,0.13972536
purpose_used_car,0.1343289
housing_rent,0.091431215
property_magnitude_real_estate,0.08228177
housing_own,0.080404885
other_payment_plans_bank,0.07989113
purpose_radio/tv,0.075454466
savings_status__=1000,0.06698843
existing_credits,0.06526449
own_telephone_none,0.058085576
employment__1,0.056037225
foreign_worker_no,0.05259699
personal_status_male_single,0.051112544
personal_status_female_div/dep/mar,0.050535902
purpose_education,0.04987619
other_parties_guarantor,0.049574442
savings_status_no_known_savings,0.045867506
checking_status_0_=X_200,0.04490433
employment_unemployed,0.041187283
purpose_new_car,0.038087193
employment__=7,0.036521457
savings_status_100_=X_500,0.034770258
property_magnitude_no_known_property,0.033999957
credit_history_all_paid,0.029599557
credit_history_delayed_previously,0.027916633
property_magnitude_car,0.026084278
checking_status__=200,0.02411751
residence_since,0.022874901
employment_1_=X_4,0.020995952
credit_history_existing_paid,0.02063242
credit_history_no_credits/all_paid,0.018142898
property_magnitude_life_insurance,0.017767476
purpose_furniture/equipment,0.016174512
housing_for_free,0.016053615
job_skilled,0.015116969
job_unskilled_resident,0.01493041
job_high_qualif/self_emp/mgmt,0.014724446
personal_status_male_div/sep,0.011496221
num_dependents,0.010588549
other_parties_none,0.007595035
other_parties_co_applicant,0.0054879026
personal_status_male_mar/wid,0.0045763566
GENDER_F,0.0044999225
savings_status_500_=X_1000,0.003924122
purpose_business,0.0034617959
own_telephone_yes,0.0033710545
other_payment_plans_stores,0.0027778705
purpose_repairs,0.002000734
foreign_worker_yes,0.0016184432
purpose_domestic_appliance,0.0
purpose_retraining,0.0
purpose_other,0.0
job_unemp/unskilled_non_res,0.0
GENDER_M,0.0
