metric,category,gemini_mean,gemini_std,gemini_n,anthropic_mean,anthropic_std,anthropic_n
feat_match_rate,rule_based,0.44214285714285717,0.16090592141210172,10,0.47710317460317453,0.19056123634165037,10.0
val_match_rate,rule_based,0.8111507936507936,0.12283801929513087,10,0.9008333333333333,0.11061656918034062,10.0
sign_match_rate,rule_based,0.7833333333333333,0.20861092617242877,10,0.8666666666666666,0.23306863292670035,10.0
full_match_rate,rule_based,0.36630952380952386,0.19542659936027476,10,0.39853174603174607,0.16215831224507957,10.0
halluc_rate_strict,rule_based,0.0,0.0,10,0.0,0.0,10.0
halluc_rate_broad,rule_based,0.0,0.0,10,0.0,0.0,10.0
geval_factual_accuracy,geval,5.0,0.0,8,,,
geval_completeness,geval,3.375,0.7440238091428449,8,,,
geval_sensitive_leak,geval,5.0,0.0,8,,,
geval_style,geval,5.0,0.0,8,,,
elapsed_sec,efficiency,12.7,4.481963855275944,10,8.405,0.7623538111227183,10.0
total_tokens,efficiency,4154.7,833.6240892765888,10,2500.4,83.40956513227698,10.0
