mode,provider,metric,mean,std,n
fusion,anthropic,entailment_rate,0.625473052239739,0.15010594066400237,30
fusion,anthropic,contradiction_rate,0.19142388289898846,0.11496285428661757,30
fusion,anthropic,neutral_rate,0.18310005998963103,0.09494128136391419,30
fusion,anthropic,min_entailment,0.18140026728312175,0.24594782005787594,30
fusion,gemini,entailment_rate,0.6242387422935043,0.11665160861094259,30
fusion,gemini,contradiction_rate,0.16728465335078974,0.10906963790226398,30
fusion,gemini,neutral_rate,0.20848044403015625,0.07869073472592089,30
fusion,gemini,min_entailment,0.08188355763753255,0.16499786925870277,30
shaponly,anthropic,entailment_rate,0.4132549149649483,0.14625544889411532,30
shaponly,anthropic,contradiction_rate,0.3662898286183675,0.16361947617163777,30
shaponly,anthropic,neutral_rate,0.22046983945937385,0.10479713741075046,30
shaponly,anthropic,min_entailment,0.04760287602742513,0.08026686927319465,30
shaponly,gemini,entailment_rate,0.5087770766303653,0.1281773970684726,30
shaponly,gemini,contradiction_rate,0.30686833529245283,0.1500372213953786,30
shaponly,gemini,neutral_rate,0.18437135219573975,0.12872361653795505,30
shaponly,gemini,min_entailment,0.0857767105102539,0.14758239732743825,30
