,mean_abs_shap
AMT_GOODS_PRICE,0.7184684619328303
AMT_CREDIT,0.6837055940384323
EXT_SOURCE_3,0.3631038532380816
EXT_SOURCE_2,0.32519624101611627
NAME_INCOME_TYPE_Pensioner,0.243177903459765
NAME_EDUCATION_TYPE_Secondary / secondary special,0.19246585248206924
FLAG_EMP_PHONE,0.17882857457358298
FLAG_DOCUMENT_3,0.1488878782750841
OBS_30_CNT_SOCIAL_CIRCLE,0.13403574334402574
EXT_SOURCE_1,0.1304545949254672
ORGANIZATION_TYPE_TE,0.13034706875350793
OBS_60_CNT_SOCIAL_CIRCLE,0.12699775231989943
EXT_SOURCE_1_MISSING_FLAG,0.10520293203821841
AMT_ANNUITY,0.10473009101684881
DAYS_EMPLOYED,0.0924674888599221
CODE_GENDER_M,0.07837241212254943
REGION_RATING_CLIENT_W_CITY,0.0779565742464378
EMPLOYED_FLAG,0.07688605706642072
NAME_EDUCATION_TYPE_Higher education,0.07073407147403948
YEARS_BEGINEXPLUATATION_AVG,0.06914969549111281
EXT_SOURCE_3_MISSING_FLAG,0.06914392380165219
FLAG_OWN_CAR_N,0.06529509716324465
FLAG_OWN_CAR_Y,0.06529509716324465
CNT_CHILDREN,0.06353161786916767
CNT_FAM_MEMBERS,0.0628773519559909
NAME_INCOME_TYPE_Working,0.056929272279961037
CODE_GENDER_F,0.054312865609407436
FLAG_WORK_PHONE,0.05404321390235118
DAYS_ID_PUBLISH,0.050474238525241695
FLAG_DOCUMENT_6,0.048253684615809075
YEARS_BEGINEXPLUATATION_MEDI,0.04660158819066609
OCCUPATION_TYPE_TE,0.04558111190083255
YEARS_BEGINEXPLUATATION_MODE,0.045284973467825125
REG_CITY_NOT_WORK_CITY,0.04456635153627841
FONDKAPREMONT_MODE_MISSING_FLAG,0.03844480457311097
AMT_REQ_CREDIT_BUREAU_QRT,0.03605376883813572
LIVE_CITY_NOT_WORK_CITY,0.03159100848149809
REG_CITY_NOT_LIVE_CITY,0.031305187688059906
REGION_RATING_CLIENT,0.028854471124722784
DAYS_REGISTRATION,0.02861227428784361
FLAG_DOCUMENT_8,0.028021445415425297
FLAG_PHONE,0.02697925316513424
DEF_30_CNT_SOCIAL_CIRCLE,0.026216528112100904
DAYS_LAST_PHONE_CHANGE,0.02397570667335641
"WALLSMATERIAL_MODE_Stone, brick",0.02149514209639217
OWN_CAR_AGE,0.021442792627828566
NAME_EDUCATION_TYPE_Incomplete higher,0.019747285938108854
NAME_FAMILY_STATUS_Civil marriage,0.017632956829599304
YEARS_BUILD_MODE_MISSING_FLAG,0.017076527619123084
YEARS_BUILD_MEDI_MISSING_FLAG,0.017076527619123084
YEARS_BUILD_AVG_MISSING_FLAG,0.017076527619123084
