,mean_abs_shap
EXT_SOURCE_3,0.3789201
EXT_SOURCE_2,0.3556203
AMT_GOODS_PRICE,0.19856761
AMT_CREDIT,0.16323763
EXT_SOURCE_1,0.14555943
DAYS_EMPLOYED,0.106487304
ORGANIZATION_TYPE_TE,0.09822545
AMT_ANNUITY,0.097962186
DAYS_BIRTH,0.07670482
CODE_GENDER_F,0.06858911
NAME_EDUCATION_TYPE_Higher education,0.067487955
DAYS_ID_PUBLISH,0.06376395
FLAG_DOCUMENT_3,0.04779869
OWN_CAR_AGE,0.047175
FLAG_OWN_CAR_N,0.0455862
OCCUPATION_TYPE_TE,0.044402406
DAYS_LAST_PHONE_CHANGE,0.043102313
NAME_FAMILY_STATUS_Married,0.042030428
CODE_GENDER_M,0.038925577
NAME_CONTRACT_TYPE_Cash loans,0.032900512
REGION_RATING_CLIENT_W_CITY,0.032551963
AMT_REQ_CREDIT_BUREAU_QRT,0.031153068
EXT_SOURCE_1_MISSING_FLAG,0.030371299
DAYS_REGISTRATION,0.028527735
AMT_REQ_CREDIT_BUREAU_YEAR,0.026180482
REGION_POPULATION_RELATIVE,0.026118271
NAME_EDUCATION_TYPE_Secondary / secondary special,0.02087801
FLAG_WORK_PHONE,0.020025717
DEF_30_CNT_SOCIAL_CIRCLE,0.018092437
EXT_SOURCE_3_MISSING_FLAG,0.016345328
BASEMENTAREA_MODE,0.016181966
AMT_INCOME_TOTAL,0.016076151
HOUR_APPR_PROCESS_START,0.015718067
REG_CITY_NOT_LIVE_CITY,0.01563205
DEF_60_CNT_SOCIAL_CIRCLE,0.01466067
NONLIVINGAREA_MODE,0.012920889
WALLSMATERIAL_MODE_Panel,0.012804311
YEARS_BEGINEXPLUATATION_MODE,0.011369322
TOTALAREA_MODE,0.011000367
OWN_CAR_AGE_MISSING_FLAG,0.009689159
FLAG_PHONE,0.009452659
APARTMENTS_AVG,0.009379166
BASEMENTAREA_MEDI,0.009274381
COMMONAREA_MODE,0.008636423
FLAG_OWN_REALTY_N,0.008589429
FLAG_OWN_CAR_Y,0.00850842
ENTRANCES_AVG,0.008481911
BASEMENTAREA_AVG,0.008378542
WEEKDAY_APPR_PROCESS_START_SATURDAY,0.007792383
APARTMENTS_MODE,0.007784478
