,mean_abs_shap
EXT_SOURCE_2,0.35321563
EXT_SOURCE_3,0.293336
EXT_SOURCE_1,0.12836167
AMT_ANNUITY,0.10175959
AMT_GOODS_PRICE,0.101202756
ORGANIZATION_TYPE_TE,0.09022916
DAYS_EMPLOYED,0.090226434
AMT_CREDIT,0.07849381
CODE_GENDER_F,0.06767625
NAME_EDUCATION_TYPE_Higher education,0.06231508
DAYS_BIRTH,0.050557736
PREV_NAME_YIELD_GROUP_high_mean,0.04990034
PREV_CNT_PAYMENT_std,0.04858415
PREV_NAME_YIELD_GROUP_low_action_mean,0.04497103
NAME_FAMILY_STATUS_Married,0.044490192
PREV_DAYS_LAST_DUE_1ST_VERSION_max,0.04401823
OWN_CAR_AGE,0.041600298
FLAG_OWN_CAR_N,0.03609667
CODE_GENDER_M,0.036094204
PREV_NAME_CONTRACT_STATUS_Refused_mean,0.035976253
PREV_PRODUCT_COMBINATION_Cash X-Sell: low_mean,0.035945326
PREV_APPROVED_CNT_PAYMENT_mean,0.035670873
OCCUPATION_TYPE_TE,0.033387538
PREV_CNT_PAYMENT_mean,0.032750435
DAYS_ID_PUBLISH,0.03249887
PREV_APPROVED_AMT_DOWN_PAYMENT_sum,0.03125325
BUREAU_ACTIVE_DAYS_CREDIT_ENDDATE_mean,0.030906549
FLAG_DOCUMENT_3,0.029760605
BUREAU_AMT_CREDIT_SUM_DEBT_std,0.02823782
PREV_APPROVED_AMT_ANNUITY_sum,0.027515912
PREV_APPROVED_AMT_ANNUITY_mean,0.025443628
BUREAU_AMT_CREDIT_MAX_OVERDUE_mean,0.024894418
PREV_DAYS_FIRST_DRAWING_std,0.024081858
NAME_CONTRACT_TYPE_Cash loans,0.023666035
REGION_RATING_CLIENT_W_CITY,0.02348226
PREV_DAYS_FIRST_DRAWING_mean,0.020295441
BUREAU_AMT_CREDIT_SUM_DEBT_mean,0.019319277
BUREAU_ACTIVE_DAYS_CREDIT_ENDDATE_max,0.019066919
AMT_REQ_CREDIT_BUREAU_QRT,0.018634573
BUREAU_ACTIVE_DAYS_CREDIT_max,0.017514199
REGION_POPULATION_RELATIVE,0.01611074
BUREAU_DAYS_CREDIT_mean,0.016101375
BUREAU_CLOSED_AMT_CREDIT_MAX_OVERDUE_max_MISSING_FLAG,0.01602664
BUREAU_DAYS_CREDIT_max,0.015592391
PREV_CODE_REJECT_REASON_XAP_mean,0.015445131
DAYS_REGISTRATION,0.015301985
PREV_AMT_ANNUITY_mean,0.014570081
BUREAU_CREDIT_ACTIVE_Active_mean,0.014430133
BUREAU_AMT_CREDIT_SUM_min,0.013566832
BUREAU_CREDIT_ACTIVE_Closed_mean,0.013517886
BUREAU_CLOSED_DAYS_ENDDATE_FACT_max,0.01338067
DAYS_LAST_PHONE_CHANGE,0.013077336
DEF_30_CNT_SOCIAL_CIRCLE,0.0129948
PREV_DAYS_FIRST_DUE_std,0.012850752
EXT_SOURCE_1_MISSING_FLAG,0.012835419
BUREAU_CLOSED_AMT_CREDIT_SUM_sum,0.012734555
PREV_NAME_YIELD_GROUP_low_normal_mean,0.012665475
REG_CITY_NOT_LIVE_CITY,0.012640537
PREV_AMT_ANNUITY_min,0.012188074
BUREAU_CLOSED_DAYS_CREDIT_UPDATE_max,0.011262856
BUREAU_DAYS_CREDIT_ENDDATE_max,0.010578094
PREV_DAYS_FIRST_DRAWING_min,0.010576077
PREV_DAYS_LAST_DUE_max,0.010463163
PREV_APPROVED_CNT_PAYMENT_max,0.010321892
PREV_APPROVED_DAYS_FIRST_DRAWING_sum,0.010181109
BUREAU_ACTIVE_AMT_CREDIT_SUM_LIMIT_mean,0.0100414995
