rank_aux,feature,shap_aux,in_baseline_top20,is_aux_table_feature
1,EXT_SOURCE_2,0.35321563482284546,True,False
2,EXT_SOURCE_3,0.29333600401878357,True,False
3,EXT_SOURCE_1,0.12836167216300964,True,False
4,AMT_ANNUITY,0.10175959020853043,True,False
5,AMT_GOODS_PRICE,0.10120275616645813,True,False
6,ORGANIZATION_TYPE_TE,0.09022916108369827,True,False
7,DAYS_EMPLOYED,0.0902264341711998,True,False
8,AMT_CREDIT,0.07849381119012833,True,False
9,CODE_GENDER_F,0.06767625361680984,True,False
10,NAME_EDUCATION_TYPE_Higher education,0.06231508031487465,True,False
11,DAYS_BIRTH,0.050557736307382584,True,False
12,PREV_NAME_YIELD_GROUP_high_mean,0.04990034177899361,False,True
13,PREV_CNT_PAYMENT_std,0.04858414828777313,False,True
14,PREV_NAME_YIELD_GROUP_low_action_mean,0.044971030205488205,False,True
15,NAME_FAMILY_STATUS_Married,0.04449019208550453,True,False
16,PREV_DAYS_LAST_DUE_1ST_VERSION_max,0.044018231332302094,False,True
17,OWN_CAR_AGE,0.0416002981364727,True,False
18,FLAG_OWN_CAR_N,0.03609666973352432,True,False
19,CODE_GENDER_M,0.03609420359134674,True,False
20,PREV_NAME_CONTRACT_STATUS_Refused_mean,0.03597625344991684,False,True
