,importance
NAME_CONTRACT_TYPE_Revolving loans,0.29092873997602664
EXT_SOURCE_2,0.12625319704725319
YEARS_BUILD_MODE,0.11896693291564933
EXT_SOURCE_3,0.09316414660481488
NAME_EDUCATION_TYPE_Higher education,0.06714888528473086
CODE_GENDER_M,0.06465240393117706
FLAG_OWN_CAR_Y,0.06367304658364843
FLAG_DOCUMENT_20,0.03590136491059477
FONDKAPREMONT_MODE_org spec account,0.03463997838702991
FONDKAPREMONT_MODE_reg oper spec account,0.02010121108196556
DAYS_EMPLOYED,0.01857406050134266
ORGANIZATION_TYPE_TE,0.008920395082562866
DAYS_ID_PUBLISH,0.00698577576084924
OCCUPATION_TYPE_TE,0.006856215653802089
FLAG_DOCUMENT_17,0.006350482454093052
CNT_CHILDREN,0.004612775685483491
NAME_EDUCATION_TYPE_Incomplete higher,0.003989516388211248
FLAG_DOCUMENT_11,0.002624294780240376
YEARS_BEGINEXPLUATATION_AVG,0.0023927104360113634
WALLSMATERIAL_MODE_MISSING_FLAG,0.002349909905400925
HOUSETYPE_MODE_block of flats,0.0023359790866473934
NAME_EDUCATION_TYPE_Lower secondary,0.0021559334128631613
NAME_FAMILY_STATUS_Married,0.0020089094869195764
FONDKAPREMONT_MODE_not specified,0.0019882859128830537
NAME_INCOME_TYPE_Working,0.001359412182987319
AMT_REQ_CREDIT_BUREAU_WEEK,0.0013327212775548318
NAME_TYPE_SUITE_Unaccompanied,0.0010367715920975096
DAYS_BIRTH,0.000978410388585514
YEARS_BEGINEXPLUATATION_MEDI,0.0008987066360113203
APARTMENTS_AVG,0.0007615465705172826
AMT_CREDIT,0.000751405862490824
LIVINGAPARTMENTS_AVG,0.0006050614337234259
FLOORSMAX_MEDI,0.0006011011346273523
NAME_INCOME_TYPE_Businessman,0.0005466457030608973
LIVE_CITY_NOT_WORK_CITY,0.0003511868485993116
TOTALAREA_MODE,0.00034735461998178745
NAME_INCOME_TYPE_Commercial associate,0.00031635748924024073
LANDAREA_MODE,0.00024088487425842652
WEEKDAY_APPR_PROCESS_START_SUNDAY,0.00023375450989743303
FONDKAPREMONT_MODE_MISSING_FLAG,0.0002247902808660377
WALLSMATERIAL_MODE_Panel,0.00021097386355358036
APARTMENTS_MEDI,0.00019736395632238076
AMT_REQ_CREDIT_BUREAU_MON,0.00016557666596712524
FLAG_DOCUMENT_7,0.00015692785200821047
LIVINGAPARTMENTS_MODE,0.0001513016277747959
FLAG_DOCUMENT_4,0.00010560295991016926
NAME_FAMILY_STATUS_Unknown,8.803994586353852e-05
LIVINGAPARTMENTS_AVG_MISSING_FLAG,7.670459092168804e-05
FLAG_DOCUMENT_15,6.906225045509297e-05
WEEKDAY_APPR_PROCESS_START_THURSDAY,6.787999629878092e-05
FLAG_OWN_CAR_N,6.465903414832842e-05
WEEKDAY_APPR_PROCESS_START_TUESDAY,5.650081225557876e-05
COMMONAREA_MODE_MISSING_FLAG,4.4776852746875554e-05
EMERGENCYSTATE_MODE_No,3.298015760859133e-05
WEEKDAY_APPR_PROCESS_START_FRIDAY,3.056354767868366e-05
OBS_60_CNT_SOCIAL_CIRCLE,2.941173073330546e-05
FLOORSMIN_MODE,2.9150484556694232e-05
COMMONAREA_AVG_MISSING_FLAG,2.6314820825283122e-05
"WALLSMATERIAL_MODE_Stone, brick",2.0117562988252948e-05
APARTMENTS_MODE,1.972046491449774e-05
NAME_TYPE_SUITE_Other_B,1.9076040330566298e-05
REGION_RATING_CLIENT,1.4969107135585028e-05
NAME_FAMILY_STATUS_Civil marriage,1.4597243873917853e-05
ENTRANCES_MEDI,1.2395842061276375e-05
NONLIVINGAREA_AVG,9.900556267001305e-06
NAME_HOUSING_TYPE_Co-op apartment,9.714611783158679e-06
NONLIVINGAPARTMENTS_AVG_MISSING_FLAG,8.858092807460946e-06
FLAG_DOCUMENT_13,7.906081652456086e-06
FLAG_DOCUMENT_2,7.561599174271514e-06
LIVINGAPARTMENTS_MEDI_MISSING_FLAG,7.445790761703656e-06
NONLIVINGAREA_MODE_MISSING_FLAG,6.661581542193862e-06
NAME_FAMILY_STATUS_Widow,5.3017638628808586e-06
NAME_INCOME_TYPE_Pensioner,4.849440147351072e-06
NONLIVINGAREA_AVG_MISSING_FLAG,4.774534396919156e-06
REG_REGION_NOT_LIVE_REGION,4.459127342042781e-06
WEEKDAY_APPR_PROCESS_START_MONDAY,4.1405443866405164e-06
NAME_HOUSING_TYPE_With parents,4.137568115006894e-06
BASEMENTAREA_MODE_MISSING_FLAG,3.851930181795882e-06
LANDAREA_AVG_MISSING_FLAG,3.5010935219519993e-06
FLAG_DOCUMENT_9,3.381713568736175e-06
NONLIVINGAPARTMENTS_MEDI_MISSING_FLAG,2.8616720835821333e-06
LIVINGAREA_MODE,2.7218595330684756e-06
FLAG_DOCUMENT_8,2.445786534119829e-06
ELEVATORS_AVG_MISSING_FLAG,2.1160636609347164e-06
COMMONAREA_AVG,1.820175457298828e-06
LIVINGAREA_MEDI_MISSING_FLAG,1.7746748736704492e-06
NAME_TYPE_SUITE_Other_A,1.7589334120136468e-06
WALLSMATERIAL_MODE_Block,1.6654014643393434e-06
ELEVATORS_MEDI,1.594390522752197e-06
DAYS_REGISTRATION,1.5873332116323341e-06
AMT_REQ_CREDIT_BUREAU_QRT,1.2208902028357838e-06
AMT_INCOME_TOTAL,1.0792669274214137e-06
REGION_RATING_CLIENT_W_CITY,1.078427331171116e-06
NONLIVINGAPARTMENTS_AVG,9.76835916018813e-07
YEARS_BUILD_MEDI_MISSING_FLAG,9.204054227556202e-07
APARTMENTS_MEDI_MISSING_FLAG,8.843142338978612e-07
FLAG_DOCUMENT_3,7.595978844839053e-07
WALLSMATERIAL_MODE_Mixed,6.808810314081766e-07
REGION_POPULATION_RELATIVE,6.384372078308675e-07
ENTRANCES_AVG_MISSING_FLAG,6.216656452799856e-07
LANDAREA_AVG,5.781034981481576e-07
DAYS_LAST_PHONE_CHANGE,5.662071305056465e-07
EMERGENCYSTATE_MODE_Yes,5.650173249239962e-07
LIVINGAREA_MODE_MISSING_FLAG,5.506927067538344e-07
FLOORSMAX_MODE,4.6579469566250245e-07
NONLIVINGAPARTMENTS_MEDI,4.0743230026126437e-07
WALLSMATERIAL_MODE_Others,3.757351122021764e-07
BASEMENTAREA_AVG_MISSING_FLAG,3.7544877700811204e-07
CODE_GENDER_XNA,3.592409226881328e-07
FLAG_PHONE,3.4279950663482063e-07
FLAG_DOCUMENT_6,3.312965952992542e-07
EXT_SOURCE_3_MISSING_FLAG,3.081335377810079e-07
CODE_GENDER_F,2.8677508779058344e-07
ENTRANCES_MODE_MISSING_FLAG,2.6861160164717235e-07
DEF_30_CNT_SOCIAL_CIRCLE,2.592814736016396e-07
NAME_HOUSING_TYPE_Municipal apartment,2.3000326243573172e-07
COMMONAREA_MODE,2.0204136909051348e-07
"NAME_TYPE_SUITE_Spouse, partner",1.9942351326472951e-07
FLOORSMIN_MEDI_MISSING_FLAG,1.7875785391472183e-07
AMT_GOODS_PRICE,1.6998820247585937e-07
NONLIVINGAPARTMENTS_MODE,1.3892566674323715e-07
NONLIVINGAREA_MEDI,1.2549857991750147e-07
FLAG_EMAIL,1.2064473047621416e-07
FLAG_DOCUMENT_21,1.1686624767730092e-07
FLAG_OWN_REALTY_N,1.1566966789490369e-07
REG_REGION_NOT_WORK_REGION,1.0580124451843613e-07
NAME_HOUSING_TYPE_Office apartment,1.0129678728364809e-07
FLOORSMIN_AVG_MISSING_FLAG,8.125586874910979e-08
COMMONAREA_MEDI,6.797873020793664e-08
BASEMENTAREA_MODE,5.53443415039292e-08
NAME_TYPE_SUITE_Family,5.097126187357026e-08
NAME_TYPE_SUITE_Children,4.3696310708707764e-08
YEARS_BUILD_AVG_MISSING_FLAG,3.870445751673099e-08
NAME_FAMILY_STATUS_Single / not married,3.808193739252271e-08
LIVINGAREA_AVG,2.9873111633849926e-08
YEARS_BUILD_AVG,2.6349067147792868e-08
BASEMENTAREA_AVG,2.1230724567250495e-08
HOUR_APPR_PROCESS_START,1.6760337792759236e-08
ELEVATORS_MEDI_MISSING_FLAG,1.4252226116365355e-08
ENTRANCES_MEDI_MISSING_FLAG,1.3715549811885163e-08
YEARS_BUILD_MEDI,1.2903504902044293e-08
FLAG_EMP_PHONE,1.1504894438686283e-08
NAME_EDUCATION_TYPE_Academic degree,1.1279564775575768e-08
FLAG_DOCUMENT_19,9.702834370242992e-09
NAME_INCOME_TYPE_Maternity leave,5.303391787854676e-09
FLAG_DOCUMENT_5,4.502512914007396e-09
OWN_CAR_AGE,3.855089556835514e-09
APARTMENTS_AVG_MISSING_FLAG,3.787622649461036e-09
LIVINGAPARTMENTS_MEDI,3.1498316738995944e-09
FLAG_DOCUMENT_16,2.374168865653672e-09
LIVINGAREA_MEDI,1.7488854755882091e-09
LANDAREA_MEDI,9.095548376900702e-10
FLAG_DOCUMENT_10,7.511193651998054e-10
ELEVATORS_MODE,5.599968738834104e-10
FLAG_DOCUMENT_18,1.856541407047588e-10
REG_CITY_NOT_WORK_CITY,1.8108179862656246e-10
ELEVATORS_AVG,1.579536695916172e-10
COMMONAREA_MEDI_MISSING_FLAG,1.5490882412015647e-10
WEEKDAY_APPR_PROCESS_START_SATURDAY,1.1055216915199592e-10
EXT_SOURCE_2_MISSING_FLAG,4.784578641364883e-11
APARTMENTS_MODE_MISSING_FLAG,7.884730257318609e-15
DEF_60_CNT_SOCIAL_CIRCLE,0.0
OBS_30_CNT_SOCIAL_CIRCLE,0.0
FLAG_MOBIL,0.0
CNT_FAM_MEMBERS,0.0
FLAG_CONT_MOBILE,0.0
FLAG_WORK_PHONE,0.0
AMT_ANNUITY,0.0
BASEMENTAREA_MEDI,0.0
FLOORSMIN_MEDI,0.0
NONLIVINGAREA_MODE,0.0
FLOORSMIN_AVG,0.0
YEARS_BEGINEXPLUATATION_MODE,0.0
ENTRANCES_MODE,0.0
FLOORSMAX_AVG,0.0
ENTRANCES_AVG,0.0
REG_CITY_NOT_LIVE_CITY,0.0
EXT_SOURCE_1,0.0
LIVE_REGION_NOT_WORK_REGION,0.0
AMT_REQ_CREDIT_BUREAU_HOUR,0.0
FLAG_DOCUMENT_12,0.0
AMT_REQ_CREDIT_BUREAU_DAY,0.0
YEARS_BUILD_MODE_MISSING_FLAG,0.0
OWN_CAR_AGE_MISSING_FLAG,0.0
NONLIVINGAPARTMENTS_MODE_MISSING_FLAG,0.0
NONLIVINGAREA_MEDI_MISSING_FLAG,0.0
LIVINGAREA_AVG_MISSING_FLAG,0.0
HOUSETYPE_MODE_MISSING_FLAG,0.0
LANDAREA_MODE_MISSING_FLAG,0.0
LIVINGAPARTMENTS_MODE_MISSING_FLAG,0.0
LANDAREA_MEDI_MISSING_FLAG,0.0
EXT_SOURCE_1_MISSING_FLAG,0.0
FLOORSMIN_MODE_MISSING_FLAG,0.0
FLAG_DOCUMENT_14,0.0
BASEMENTAREA_MEDI_MISSING_FLAG,0.0
EMPLOYED_FLAG,0.0
AMT_REQ_CREDIT_BUREAU_YEAR,0.0
ELEVATORS_MODE_MISSING_FLAG,0.0
NAME_FAMILY_STATUS_Separated,0.0
NAME_EDUCATION_TYPE_Secondary / secondary special,0.0
NAME_INCOME_TYPE_Student,0.0
NAME_INCOME_TYPE_Unemployed,0.0
NAME_INCOME_TYPE_State servant,0.0
NAME_CONTRACT_TYPE_Cash loans,0.0
NAME_TYPE_SUITE_Group of people,0.0
FLAG_OWN_REALTY_Y,0.0
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,0.0
NAME_HOUSING_TYPE_Rented apartment,0.0
NAME_HOUSING_TYPE_House / apartment,0.0
FONDKAPREMONT_MODE_reg oper account,0.0
HOUSETYPE_MODE_terraced house,0.0
HOUSETYPE_MODE_specific housing,0.0
WALLSMATERIAL_MODE_Monolithic,0.0
WALLSMATERIAL_MODE_Wooden,0.0
