number,value,params_gamma,params_lambda_sparse,params_lr,params_mask_type,params_n_d,params_n_steps,state,duration
0,0.7481615360087961,1.1559945203362028,1.3066739238053272e-05,0.03674059202635224,entmax,16,3,COMPLETE,0 days 00:04:06.212350
1,0.7422499388640162,1.1834045098534338,4.059611610484306e-05,0.016738881542579662,sparsemax,16,3,COMPLETE,0 days 00:02:59.497453
2,0.7418498942693482,1.7851759613930136,2.5081156860452307e-05,0.016338208828908806,sparsemax,8,4,COMPLETE,0 days 00:04:44.392610
3,0.7395958454142473,1.8083973481164612,4.066563313514796e-05,0.006260977143530196,sparsemax,32,6,COMPLETE,0 days 00:15:58.095092
4,0.7429249791610414,1.662522284353982,4.201672054372529e-05,0.016559149440361905,sparsemax,32,4,COMPLETE,0 days 00:06:11.639821
5,0.7419385902067964,1.9218742350231168,1.5030900645056805e-05,0.007851504189403358,entmax,8,5,COMPLETE,0 days 00:09:51.571777
6,0.7442130963937901,1.5426960831582486,1.913588048769229e-05,0.03170786387747639,entmax,24,4,COMPLETE,0 days 00:02:55.602166
7,0.7406775422011067,1.7290071680409873,0.000348771262454593,0.005929453342787636,sparsemax,32,5,COMPLETE,0 days 00:11:19.739602
8,0.7437060164024518,1.325183322026747,0.0002878805718308924,0.021703385059446998,sparsemax,8,4,COMPLETE,0 days 00:05:57.317603
9,0.7457686266678715,1.4937955963643907,0.00011103647313054615,0.01338169178383038,entmax,24,6,COMPLETE,0 days 00:09:39.485017
